"ID";"Bestedingscategorieen";"Perioden";"CPI_1";"CPIAfgeleid_2";"MaandmutatieCPI_3";"MaandmutatieCPIAfgeleid_4";"JaarmutatieCPI_5";"JaarmutatieCPIAfgeleid_6";"Wegingscoefficient_7"
"0";"T001112  ";"1996MM01";"68.03";"72.28";;;;;"100000"
"1";"T001112  ";"1996MM02";"68.29";"72.55";"0.4";"0.4";;;"100000"
"2";"T001112  ";"1996MM03";"68.92";"73.22";"0.9";"0.9";;;"100000"
"3";"T001112  ";"1996MM04";"69.13";"73.44";"0.3";"0.3";;;"100000"
"4";"T001112  ";"1996MM05";"68.96";"73.26";"-0.2";"-0.2";;;"100000"
"5";"T001112  ";"1996MM06";"68.67";"72.95";"-0.4";"-0.4";;;"100000"
"6";"T001112  ";"1996MM07";"68.84";"73.14";"0.2";"0.3";;;"100000"
"7";"T001112  ";"1996MM08";"68.75";"73.04";"-0.1";"-0.1";;;"100000"
"8";"T001112  ";"1996MM09";"69.37";"73.72";"0.9";"0.9";;;"100000"
"9";"T001112  ";"1996MM10";"69.53";"73.89";"0.2";"0.2";;;"100000"
"10";"T001112  ";"1996MM11";"69.45";"73.8";"-0.1";"-0.1";;;"100000"
"11";"T001112  ";"1996MM12";"69.37";"73.72";"-0.1";"-0.1";;;"100000"
"13";"T001112  ";"1997MM01";"69.45";"73.63";"0.1";"-0.1";"2.1";"1.9";"100000"
"14";"T001112  ";"1997MM02";"69.59";"73.78";"0.2";"0.2";"1.9";"1.7";"100000"
"15";"T001112  ";"1997MM03";"70.12";"74.32";"0.8";"0.7";"1.7";"1.5";"100000"
"16";"T001112  ";"1997MM04";"70.2";"74.39";"0.1";"0.1";"1.5";"1.3";"100000"
"17";"T001112  ";"1997MM05";"70.36";"74.56";"0.2";"0.2";"2";"1.8";"100000"
"18";"T001112  ";"1997MM06";"70.02";"74.21";"-0.5";"-0.5";"2";"1.7";"100000"
"19";"T001112  ";"1997MM07";"70.25";"74.48";"0.3";"0.4";"2";"1.8";"100000"
"20";"T001112  ";"1997MM08";"70.44";"74.68";"0.3";"0.3";"2.5";"2.2";"100000"
"21";"T001112  ";"1997MM09";"71.07";"75.37";"0.9";"0.9";"2.5";"2.2";"100000"
"22";"T001112  ";"1997MM10";"71.14";"75.44";"0.1";"0.1";"2.3";"2.1";"100000"
"23";"T001112  ";"1997MM11";"71.17";"75.47";"0";"0";"2.5";"2.3";"100000"
"24";"T001112  ";"1997MM12";"70.95";"75.24";"-0.3";"-0.3";"2.3";"2.1";"100000"
"26";"T001112  ";"1998MM01";"70.71";"74.81";"-0.3";"-0.6";"1.8";"1.6";"100000"
"27";"T001112  ";"1998MM02";"71.11";"75.22";"0.6";"0.5";"2.2";"2";"100000"
"28";"T001112  ";"1998MM03";"71.7";"75.85";"0.8";"0.8";"2.3";"2.1";"100000"
"29";"T001112  ";"1998MM04";"71.88";"76.04";"0.3";"0.3";"2.4";"2.2";"100000"
"30";"T001112  ";"1998MM05";"71.81";"75.96";"-0.1";"-0.1";"2.1";"1.9";"100000"
"31";"T001112  ";"1998MM06";"71.51";"75.65";"-0.4";"-0.4";"2.1";"1.9";"100000"
"32";"T001112  ";"1998MM07";"71.65";"75.8";"0.2";"0.2";"2";"1.8";"100000"
"33";"T001112  ";"1998MM08";"71.66";"75.8";"0";"0";"1.7";"1.5";"100000"
"34";"T001112  ";"1998MM09";"72.25";"76.45";"0.8";"0.9";"1.7";"1.4";"100000"
"35";"T001112  ";"1998MM10";"72.41";"76.63";"0.2";"0.2";"1.8";"1.6";"100000"
"36";"T001112  ";"1998MM11";"72.41";"76.61";"0";"0";"1.7";"1.5";"100000"
"37";"T001112  ";"1998MM12";"72.21";"76.39";"-0.3";"-0.3";"1.8";"1.5";"100000"
"39";"T001112  ";"1999MM01";"72.25";"76.06";"0.1";"-0.4";"2.2";"1.7";"100000"
"40";"T001112  ";"1999MM02";"72.61";"76.44";"0.5";"0.5";"2.1";"1.6";"100000"
"41";"T001112  ";"1999MM03";"73.24";"77.11";"0.9";"0.9";"2.1";"1.7";"100000"
"42";"T001112  ";"1999MM04";"73.4";"77.28";"0.2";"0.2";"2.1";"1.6";"100000"
"43";"T001112  ";"1999MM05";"73.42";"77.31";"0";"0";"2.2";"1.8";"100000"
"44";"T001112  ";"1999MM06";"73.14";"77";"-0.4";"-0.4";"2.3";"1.8";"100000"
"45";"T001112  ";"1999MM07";"73.06";"76.92";"-0.1";"-0.1";"2";"1.5";"100000"
"46";"T001112  ";"1999MM08";"73.46";"77.34";"0.5";"0.5";"2.5";"2";"100000"
"47";"T001112  ";"1999MM09";"73.8";"77.68";"0.5";"0.4";"2.1";"1.6";"100000"
"48";"T001112  ";"1999MM10";"73.86";"77.74";"0.1";"0.1";"2";"1.4";"100000"
"49";"T001112  ";"1999MM11";"73.95";"77.84";"0.1";"0.1";"2.1";"1.6";"100000"
"50";"T001112  ";"1999MM12";"73.7";"77.58";"-0.3";"-0.3";"2.1";"1.6";"100000"
"52";"T001112  ";"2000MM01";"73.55";"77.17";"-0.2";"-0.5";"1.8";"1.5";"100000"
"53";"T001112  ";"2000MM02";"74";"77.64";"0.6";"0.6";"1.9";"1.6";"100000"
"54";"T001112  ";"2000MM03";"74.66";"78.33";"0.9";"0.9";"1.9";"1.6";"100000"
"55";"T001112  ";"2000MM04";"74.78";"78.46";"0.2";"0.2";"1.9";"1.5";"100000"
"56";"T001112  ";"2000MM05";"75.02";"78.69";"0.3";"0.3";"2.2";"1.8";"100000"
"57";"T001112  ";"2000MM06";"74.94";"78.62";"-0.1";"-0.1";"2.5";"2.1";"100000"
"58";"T001112  ";"2000MM07";"74.75";"78.41";"-0.3";"-0.3";"2.3";"1.9";"100000"
"59";"T001112  ";"2000MM08";"75.08";"78.75";"0.4";"0.4";"2.2";"1.8";"100000"
"60";"T001112  ";"2000MM09";"75.99";"79.7";"1.2";"1.2";"3";"2.6";"100000"
"61";"T001112  ";"2000MM10";"76.12";"79.84";"0.2";"0.2";"3.1";"2.7";"100000"
"62";"T001112  ";"2000MM11";"76.11";"79.83";"0";"0";"2.9";"2.6";"100000"
"63";"T001112  ";"2000MM12";"75.66";"79.36";"-0.6";"-0.6";"2.7";"2.3";"100000"
"65";"T001112  ";"2001MM01";"76.31";"79.25";"0.9";"-0.1";"3.8";"2.7";"100000"
"66";"T001112  ";"2001MM02";"76.98";"79.91";"0.9";"0.8";"4";"2.9";"100000"
"67";"T001112  ";"2001MM03";"77.7";"80.67";"0.9";"1";"4.1";"3";"100000"
"68";"T001112  ";"2001MM04";"78.13";"81.12";"0.6";"0.6";"4.5";"3.4";"100000"
"69";"T001112  ";"2001MM05";"78.39";"81.39";"0.3";"0.3";"4.5";"3.4";"100000"
"70";"T001112  ";"2001MM06";"78.09";"81.07";"-0.4";"-0.4";"4.2";"3.1";"100000"
"71";"T001112  ";"2001MM07";"77.98";"80.99";"-0.1";"-0.1";"4.3";"3.3";"100000"
"72";"T001112  ";"2001MM08";"78.27";"81.28";"0.4";"0.4";"4.2";"3.2";"100000"
"73";"T001112  ";"2001MM09";"79.23";"82.27";"1.2";"1.2";"4.3";"3.2";"100000"
"74";"T001112  ";"2001MM10";"79.15";"82.18";"-0.1";"-0.1";"4";"2.9";"100000"
"75";"T001112  ";"2001MM11";"79.05";"82.08";"-0.1";"-0.1";"3.9";"2.8";"100000"
"76";"T001112  ";"2001MM12";"78.81";"81.84";"-0.3";"-0.3";"4.2";"3.1";"100000"
"78";"T001112  ";"2002MM01";"79.38";"82.37";"0.7";"0.6";"4";"3.9";"100000"
"79";"T001112  ";"2002MM02";"79.81";"82.82";"0.5";"0.5";"3.7";"3.6";"100000"
"80";"T001112  ";"2002MM03";"80.52";"83.55";"0.9";"0.9";"3.6";"3.6";"100000"
"81";"T001112  ";"2002MM04";"80.9";"83.94";"0.5";"0.5";"3.5";"3.5";"100000"
"82";"T001112  ";"2002MM05";"80.92";"83.96";"0";"0";"3.2";"3.2";"100000"
"83";"T001112  ";"2002MM06";"80.65";"83.66";"-0.3";"-0.4";"3.3";"3.2";"100000"
"84";"T001112  ";"2002MM07";"80.54";"83.55";"-0.1";"-0.1";"3.3";"3.2";"100000"
"85";"T001112  ";"2002MM08";"80.81";"83.84";"0.3";"0.3";"3.2";"3.1";"100000"
"86";"T001112  ";"2002MM09";"81.69";"84.74";"1.1";"1.1";"3.1";"3";"100000"
"87";"T001112  ";"2002MM10";"81.49";"84.59";"-0.2";"-0.2";"3";"2.9";"100000"
"88";"T001112  ";"2002MM11";"81.25";"84.34";"-0.3";"-0.3";"2.8";"2.8";"100000"
"89";"T001112  ";"2002MM12";"80.97";"84.05";"-0.3";"-0.3";"2.7";"2.7";"100000"
"91";"T001112  ";"2003MM01";"81.25";"84.06";"0.3";"0";"2.4";"2.1";"100000"
"92";"T001112  ";"2003MM02";"81.75";"84.58";"0.6";"0.6";"2.4";"2.1";"100000"
"93";"T001112  ";"2003MM03";"82.53";"85.39";"1";"1";"2.5";"2.2";"100000"
"94";"T001112  ";"2003MM04";"82.61";"85.47";"0.1";"0.1";"2.1";"1.8";"100000"
"95";"T001112  ";"2003MM05";"82.55";"85.42";"-0.1";"-0.1";"2";"1.7";"100000"
"96";"T001112  ";"2003MM06";"82.17";"85.02";"-0.5";"-0.5";"1.9";"1.6";"100000"
"97";"T001112  ";"2003MM07";"82.24";"85.19";"0.1";"0.2";"2.1";"2";"100000"
"98";"T001112  ";"2003MM08";"82.5";"85.45";"0.3";"0.3";"2.1";"1.9";"100000"
"99";"T001112  ";"2003MM09";"83.31";"86.29";"1";"1";"2";"1.8";"100000"
"100";"T001112  ";"2003MM10";"83.08";"86.06";"-0.3";"-0.3";"2";"1.7";"100000"
"101";"T001112  ";"2003MM11";"82.87";"85.84";"-0.3";"-0.3";"2";"1.8";"100000"
"102";"T001112  ";"2003MM12";"82.34";"85.29";"-0.6";"-0.6";"1.7";"1.5";"100000"
"104";"T001112  ";"2004MM01";"82.35";"85.09";"0";"-0.2";"1.4";"1.2";"100000"
"105";"T001112  ";"2004MM02";"82.72";"85.47";"0.4";"0.4";"1.2";"1.1";"100000"
"106";"T001112  ";"2004MM03";"83.44";"86.14";"0.9";"0.8";"1.1";"0.9";"100000"
"107";"T001112  ";"2004MM04";"83.71";"86.31";"0.3";"0.2";"1.3";"1";"100000"
"108";"T001112  ";"2004MM05";"83.85";"86.45";"0.2";"0.2";"1.6";"1.2";"100000"
"109";"T001112  ";"2004MM06";"83.31";"85.89";"-0.6";"-0.6";"1.4";"1";"100000"
"110";"T001112  ";"2004MM07";"83.19";"85.72";"-0.1";"-0.2";"1.2";"0.6";"100000"
"111";"T001112  ";"2004MM08";"83.47";"86.01";"0.3";"0.3";"1.2";"0.7";"100000"
"112";"T001112  ";"2004MM09";"84.2";"86.76";"0.9";"0.9";"1.1";"0.5";"100000"
"113";"T001112  ";"2004MM10";"84.23";"86.8";"0";"0";"1.4";"0.9";"100000"
"114";"T001112  ";"2004MM11";"83.98";"86.54";"-0.3";"-0.3";"1.3";"0.8";"100000"
"115";"T001112  ";"2004MM12";"83.25";"85.79";"-0.9";"-0.9";"1.1";"0.6";"100000"
"117";"T001112  ";"2005MM01";"83.58";"85.92";"0.4";"0.2";"1.5";"1";"100000"
"118";"T001112  ";"2005MM02";"84.1";"86.46";"0.6";"0.6";"1.7";"1.2";"100000"
"119";"T001112  ";"2005MM03";"84.88";"87.28";"0.9";"0.9";"1.7";"1.3";"100000"
"120";"T001112  ";"2005MM04";"85.03";"87.42";"0.2";"0.2";"1.6";"1.3";"100000"
"121";"T001112  ";"2005MM05";"84.98";"87.37";"-0.1";"-0.1";"1.3";"1.1";"100000"
"122";"T001112  ";"2005MM06";"84.7";"87.08";"-0.3";"-0.3";"1.7";"1.4";"100000"
"123";"T001112  ";"2005MM07";"84.57";"86.95";"-0.2";"-0.1";"1.7";"1.4";"100000"
"124";"T001112  ";"2005MM08";"84.96";"87.36";"0.5";"0.5";"1.8";"1.6";"100000"
"125";"T001112  ";"2005MM09";"85.73";"88.15";"0.9";"0.9";"1.8";"1.6";"100000"
"126";"T001112  ";"2005MM10";"85.66";"88.08";"-0.1";"-0.1";"1.7";"1.5";"100000"
"127";"T001112  ";"2005MM11";"85.44";"87.85";"-0.3";"-0.3";"1.7";"1.5";"100000"
"128";"T001112  ";"2005MM12";"84.98";"87.38";"-0.5";"-0.5";"2.1";"1.9";"100000"
"130";"T001112  ";"2006MM01";"84.68";"87.44";"-0.4";"0.1";"1.3";"1.8";"100000"
"131";"T001112  ";"2006MM02";"85.01";"87.79";"0.4";"0.4";"1.1";"1.5";"100000"
"132";"T001112  ";"2006MM03";"85.68";"88.49";"0.8";"0.8";"0.9";"1.4";"100000"
"133";"T001112  ";"2006MM04";"86.07";"88.88";"0.5";"0.4";"1.2";"1.7";"100000"
"134";"T001112  ";"2006MM05";"86.15";"88.95";"0.1";"0.1";"1.4";"1.8";"100000"
"135";"T001112  ";"2006MM06";"85.84";"88.62";"-0.4";"-0.4";"1.3";"1.8";"100000"
"136";"T001112  ";"2006MM07";"85.68";"88.46";"-0.2";"-0.2";"1.3";"1.7";"100000"
"137";"T001112  ";"2006MM08";"86.13";"88.89";"0.5";"0.5";"1.4";"1.8";"100000"
"138";"T001112  ";"2006MM09";"86.46";"89.24";"0.4";"0.4";"0.9";"1.2";"100000"
"139";"T001112  ";"2006MM10";"86.24";"89.01";"-0.3";"-0.3";"0.7";"1.1";"100000"
"140";"T001112  ";"2006MM11";"86.1";"88.87";"-0.2";"-0.2";"0.8";"1.2";"100000"
"141";"T001112  ";"2006MM12";"85.79";"88.54";"-0.4";"-0.4";"1";"1.3";"100000"
"143";"T001112  ";"2007MM01";"85.89";"88.55";"0.1";"0";"1.4";"1.3";"100000"
"144";"T001112  ";"2007MM02";"86.28";"88.96";"0.5";"0.5";"1.5";"1.3";"100000"
"145";"T001112  ";"2007MM03";"87.22";"89.92";"1.1";"1.1";"1.8";"1.6";"100000"
"146";"T001112  ";"2007MM04";"87.64";"90.34";"0.5";"0.5";"1.8";"1.6";"100000"
"147";"T001112  ";"2007MM05";"87.7";"90.41";"0.1";"0.1";"1.8";"1.6";"100000"
"148";"T001112  ";"2007MM06";"87.34";"90.04";"-0.4";"-0.4";"1.7";"1.6";"100000"
"149";"T001112  ";"2007MM07";"86.93";"89.61";"-0.5";"-0.5";"1.5";"1.3";"100000"
"150";"T001112  ";"2007MM08";"87.08";"89.77";"0.2";"0.2";"1.1";"1";"100000"
"151";"T001112  ";"2007MM09";"87.59";"90.3";"0.6";"0.6";"1.3";"1.2";"100000"
"152";"T001112  ";"2007MM10";"87.63";"90.33";"0";"0";"1.6";"1.5";"100000"
"153";"T001112  ";"2007MM11";"87.76";"90.47";"0.1";"0.2";"1.9";"1.8";"100000"
"154";"T001112  ";"2007MM12";"87.39";"90.08";"-0.4";"-0.4";"1.9";"1.7";"100000"
"156";"T001112  ";"2008MM01";"87.63";"90.24";"0.3";"0.2";"2";"1.9";"100000"
"157";"T001112  ";"2008MM02";"88.22";"90.82";"0.7";"0.6";"2.2";"2.1";"100000"
"158";"T001112  ";"2008MM03";"89.09";"91.71";"1";"1";"2.1";"2";"100000"
"159";"T001112  ";"2008MM04";"89.42";"92.02";"0.4";"0.3";"2";"1.9";"100000"
"160";"T001112  ";"2008MM05";"89.74";"92.34";"0.4";"0.3";"2.3";"2.1";"100000"
"161";"T001112  ";"2008MM06";"89.58";"92.17";"-0.2";"-0.2";"2.6";"2.4";"100000"
"162";"T001112  ";"2008MM07";"89.72";"92.26";"0.2";"0.1";"3.2";"3";"100000"
"163";"T001112  ";"2008MM08";"89.89";"92.44";"0.2";"0.2";"3.2";"3";"100000"
"164";"T001112  ";"2008MM09";"90.28";"92.84";"0.4";"0.4";"3.1";"2.8";"100000"
"165";"T001112  ";"2008MM10";"90.07";"92.62";"-0.2";"-0.2";"2.8";"2.5";"100000"
"166";"T001112  ";"2008MM11";"89.74";"92.14";"-0.4";"-0.5";"2.3";"1.8";"100000"
"167";"T001112  ";"2008MM12";"89.09";"91.44";"-0.7";"-0.8";"1.9";"1.5";"100000"
"169";"T001112  ";"2009MM01";"89.32";"91.54";"0.3";"0.1";"1.9";"1.4";"100000"
"170";"T001112  ";"2009MM02";"89.95";"92.19";"0.7";"0.7";"2";"1.5";"100000"
"171";"T001112  ";"2009MM03";"90.85";"93.11";"1";"1";"2";"1.5";"100000"
"172";"T001112  ";"2009MM04";"91.05";"93.31";"0.2";"0.2";"1.8";"1.4";"100000"
"173";"T001112  ";"2009MM05";"91.17";"93.45";"0.1";"0.2";"1.6";"1.2";"100000"
"174";"T001112  ";"2009MM06";"90.85";"93.14";"-0.4";"-0.3";"1.4";"1.1";"100000"
"175";"T001112  ";"2009MM07";"89.89";"92.16";"-1.1";"-1.1";"0.2";"-0.1";"100000"
